Close,Date,High,Low,Open,Volume
1.25719,2016-12-14T20:00:00.000000000Z,1.26053,1.25709,1.26006,2404
1.25504,2016-12-14T20:30:00.000000000Z,1.25786,1.25299,1.25714,2565
1.25407,2016-12-14T21:00:00.000000000Z,1.25718,1.254,1.25506,845
1.25635,2016-12-14T21:30:00.000000000Z,1.25699,1.25407,1.25407,1042
1.25564,2016-12-14T22:00:00.000000000Z,1.25643,1.2552,1.25619,602
1.25399,2016-12-14T22:30:00.000000000Z,1.25565,1.25392,1.25565,891
1.2522,2016-12-14T23:00:00.000000000Z,1.25412,1.2514,1.25401,1143
1.2536,2016-12-14T23:30:00.000000000Z,1.25416,1.2522,1.2522,1398
1.25188,2016-12-15T00:00:00.000000000Z,1.25416,1.25143,1.25361,1737
1.25218,2016-12-15T00:30:00.000000000Z,1.25272,1.25137,1.25194,984
1.2534,2016-12-15T01:00:00.000000000Z,1.25358,1.25151,1.25218,1108
1.25474,2016-12-15T01:30:00.000000000Z,1.25474,1.25257,1.25339,639
1.25538,2016-12-15T02:00:00.000000000Z,1.25548,1.25421,1.25475,892
1.25503,2016-12-15T02:30:00.000000000Z,1.25572,1.25494,1.25539,335
1.25386,2016-12-15T03:00:00.000000000Z,1.25502,1.25362,1.25497,275
1.25454,2016-12-15T03:30:00.000000000Z,1.25463,1.25341,1.2538,338
1.25452,2016-12-15T04:00:00.000000000Z,1.25502,1.25413,1.2546,440
1.25386,2016-12-15T04:30:00.000000000Z,1.25476,1.25381,1.25451,366
1.25354,2016-12-15T05:00:00.000000000Z,1.25412,1.25354,1.25387,159
1.2532,2016-12-15T05:30:00.000000000Z,1.2536,1.25272,1.2536,273
1.25682,2016-12-15T06:00:00.000000000Z,1.25682,1.2524,1.2532,749
1.25479,2016-12-15T06:30:00.000000000Z,1.25682,1.25459,1.25682,344
1.25452,2016-12-15T07:00:00.000000000Z,1.25558,1.2537,1.2548,1278
1.25432,2016-12-15T07:30:00.000000000Z,1.2555,1.25321,1.25448,966
1.25215,2016-12-15T08:00:00.000000000Z,1.25545,1.25176,1.25426,1373
1.25458,2016-12-15T08:30:00.000000000Z,1.25486,1.25087,1.25206,1496
1.25236,2016-12-15T09:00:00.000000000Z,1.25473,1.25146,1.25452,1136
1.25234,2016-12-15T09:30:00.000000000Z,1.25411,1.25234,1.25256,1107
1.25252,2016-12-15T10:00:00.000000000Z,1.25349,1.25137,1.25234,986
1.25336,2016-12-15T10:30:00.000000000Z,1.25346,1.25176,1.25252,823
1.25046,2016-12-15T11:00:00.000000000Z,1.25381,1.25018,1.25341,1333
1.24863,2016-12-15T11:30:00.000000000Z,1.25058,1.24794,1.25051,1305
1.24794,2016-12-15T12:00:00.000000000Z,1.24991,1.2455,1.24844,2109
1.2469,2016-12-15T12:30:00.000000000Z,1.24805,1.24633,1.24796,964
